Item Name,Is Returnable Item,Brand,Manufacturer,Description,Rate,Package Weight,Package Length,Package Height,Package Width,Dimension Unit,Weight Unit,Is Combo Product,Vendor,Purchase Rate
Component -- NFC Reader,false,ACS,ACS,,USD 63.00,3.00,9.00,3.00,7.00,in,lb,false,,USD 45.00
"Estone -- 27"" Tablet",false,Estone,Estone,,USD 1700.00,35.00,6.00,20.00,30.00,in,lb,false,,USD 1220.00
"Estone -- 32"" Tablet",true,Estone,Estone,,USD 2000.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 1390.00
"Estone -- 32"" Tablet",true,Estone,Estone,,USD 2000.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 1390.00
Component -- RFID Reader,false,Parallax,Parallax,,USD 77.00,0.30,7.00,3.00,5.00,in,lb,false,,USD 55.00
Component -- USB Hub (10 Port),false,Rosonway,Rosonway,,USD 61.61,4.00,5.00,3.00,9.00,in,lb,false,,USD 44.01
Component -- RFID Tag,false,TrustTag,TrustTag,,USD 3.10,0.10,1.00,0.01,1.00,in,lb,false,,USD 0.21
Component -- NFC Tag 30mm,false,GoToTags,GoToTags,,USD 3.10,0.10,1.00,0.01,1.00,in,lb,false,,USD 1.00
"Estone -- 15"" Tablet",false,Estone,Estone,,USD 1275.00,18.00,5.00,13.00,20.00,in,lb,false,,USD 920.00
"Estone -- 21.5"" Tablet",false,Estone,Estone,,USD 1450.00,25.00,6.00,15.00,26.00,in,lb,false,,USD 1040.00
"Estone -- 21.5"" Tablet",false,Estone,Estone,,USD 1450.00,25.00,6.00,15.00,26.00,in,lb,false,,USD 1040.00
Service -- Monthly Software License Fee,false,,,Software License Fee,USD 125.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
"Planar -- 27"" Touchscreen Monitor",false,Planar,Planar,,USD 657.52,23.00,19.00,3.00,35.00,in,lb,false,,USD 469.66
"Planar -- 22"" Touchscreen Monitor",false,Planar,Planar,,USD 450.00,25.00,22.00,13.00,3.00,in,lb,false,,USD 320.90
NUC Computer,false,Intel,Intel,,USD 880.00,4.00,7.00,7.00,7.00,in,lb,false,,USD 629.00
"Estone -- 43"" Tablet",true,Estone,Estone,,USD 2300.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 1630.00
"E - 15"" Lift + Learn -- 10 SKU",false,,,"'- 15"" all-in-one tablet
- 10 NFC readers / featured products
- Misc. electronic components",USD 2075.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1416.19
"E - 22"" Lift + Learn -- 10 SKU",false,,,"'- 22"" all-in-one tablet
- 10 NFC readers / featured products
- Misc. electronic components",USD 2225.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1536.19
"E - 27"" Lift + Learn -- 10 SKU",false,,,"'- 27"" all-in-one tablet
- 10 NFC readers / featured products
- Misc. electronic components",USD 2450.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1696.19
"E - 15"" Pick & Place -- 24 SKU",false,,,"'- 15"" all-in-one tablet
- 1 RFID reader w/ 24 featured products
- Misc. electronic components",USD 1475.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 960.62
"E - 22"" Pick & Place -- 24 SKU",false,,,"'- 22"" all-in-one tablet
- 1 RFID reader w/ 24 featured products
- Misc. electronic components",USD 1625.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1080.62
"E - 27"" Pick & Place -- 24 SKU",true,,,"'- 27"" all-in-one tablet
- 1 RFID reader w/ 24 featured products
- Misc. electronic components",USD 1875.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1235.79
Service -- Smart Store Installation,false,,,Installation,USD 2500.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 85.00
"72"" Built in Pick + Place Furniture",false,,,Temeka Fixture 72” x 30” in Bright White gloss laminate,USD 3870.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 3496.00
"36"" Built in Lift + Learn Furniture",false,,,"Temeka Fixture 36"" x 30"" in Bright White gloss laminate",USD 3177.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 2888.00
"36"" Built in Pick + Place Furniture",false,,,,USD 3880.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 2948.80
Component -- Ethernet Cable,false,,,,USD 9.65,4.00,12.00,3.00,12.00,in,lb,false,,USD 6.89
Component -- Surge Protector,false,,,,USD 32.89,0.00,0.00,0.00,0.00,in,lb,false,,USD 23.49
Component -- USB Hub (4 Port),false,,,,USD 27.99,4.00,9.00,4.00,4.00,in,lb,false,,USD 19.99
"E - 15"" Lift + Learn -- 14 SKU",false,,,"'- 15"" all-in-one tablet
- 14 NFC readers / featured products
- Misc. electronic components",USD 2375.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1622.81
"E - 15"" Lift + Learn -- 12 SKU",false,,,"'- 15"" all-in-one tablet
- 12 NFC readers / featured products
- Misc. electronic components",USD 2200.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1528.49
"E - 15"" Lift + Learn -- 16 SKU",false,,,"'- 15"" all-in-one tablet
- 16 NFC readers / featured products
- Misc. electronic components",USD 2500.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1743.16
"E - 15"" Lift + Learn -- 18 SKU",false,,,"'- 15"" all-in-one tablet
- 18 NFC readers / featured products
- Misc. electronic components",USD 2675.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1837.48
"E - 15"" Lift + Learn -- 20 SKU",false,,,"'- 15"" all-in-one tablet
- 20 NFC readers / featured products
- Misc. electronic components",USD 2800.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1931.80
"E - 22"" Lift + Learn -- 12 SKU",false,,,"'- 22"" all-in-one tablet
- 12 NFC readers / featured products
- Misc. electronic components",USD 2350.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1648.49
"E - 22"" Lift + Learn -- 14 SKU",false,,,"'- 22"" all-in-one tablet
- 14 NFC readers / featured products
- Misc. electronic components",USD 2525.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1742.81
"E - 22"" Lift + Learn -- 16 SKU",false,,,"'- 22"" all-in-one tablet
- 16 NFC readers / featured products
- Misc. electronic components",USD 2650.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1912.96
"E - 22"" Lift + Learn -- 18 SKU",false,,,"'- 22"" all-in-one tablet
- 18 NFC readers / featured products
- Misc. electronic components",USD 2800.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1742.81
"E - 22"" Lift + Learn -- 20 SKU",false,,,"'- 22"" all-in-one tablet
- 20 NFC readers / featured products
- Misc. electronic components",USD 2950.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1742.81
"E - 27"" Lift + Learn -- 12 SKU",false,,,"'- 27"" all-in-one tablet
- 12 NFC readers / featured products
- Misc. electronic components",USD 2600.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1808.49
"E - 27"" Lift + Learn -- 14 SKU",false,,,"'- 27"" all-in-one tablet
- 14 NFC readers / featured products
- Misc. electronic components",USD 2750.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1902.81
"E - 27"" Lift + Learn -- 16 SKU",false,,,"'- 27"" all-in-one tablet
- 16 NFC readers / featured products
- Misc. electronic components",USD 2900.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1902.81
"E - 27"" Lift + Learn -- 18 SKU",false,,,"'- 27"" all-in-one tablet
- 18 NFC readers / featured products
- Misc. electronic components",USD 3050.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 2117.48
"E - 27"" Lift + Learn -- 20 SKU",false,,,"'- 27"" all-in-one tablet
- 20 NFC readers / featured products
- Misc. electronic components",USD 3200.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 2211.80
"E - 15"" Lift + Learn -- 08 SKU",false,,,"'- 15"" all-in-one tablet
- 8 NFC readers / featured products
- Misc. electronic components",USD 1900.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1321.87
"E - 22"" Lift + Learn -- 08 SKU",false,,,"'- 22"" all-in-one tablet
- 8 NFC readers / featured products
- Misc. electronic components",USD 2050.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1441.87
"E - 27"" Lift + Learn -- 08 SKU",false,,,"'- 27"" all-in-one tablet
- 8 NFC readers / featured products
- Misc. electronic components",USD 2300.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1601.87
Shipping and Freight,false,,,,USD 70.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 70.00
Component -- Surge Protector 3 Pack,false,,,,USD 83.99,0.00,0.00,0.00,0.00,in,lb,false,,USD 59.99
API Integration Fee,false,,,API FEES,USD 125.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
Reimbursed Expenses,false,,,,USD 1.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
"E - 22"" Pick & Place -- 12 SKU",false,,,"'- 22"" all-in-one tablet
- 1 RFID reader w/ 12 featured products
- Misc. electronic components",USD 1625.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1080.62
"E - 15"" Pick & Place -- 12 SKU",false,,,"'- 15"" all-in-one tablet
- 1 RFID reader w/ 12 featured products
- Misc. electronic components",USD 1475.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 960.62
"E - 27"" Pick & Place -- 12 SKU",true,,,"'- 27"" all-in-one tablet
- 1 RFID reader w/ 12 featured products
- Misc. electronic components",USD 1875.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1235.79
Product Coasters,false,,,,USD 9.00,0.00,3.00,3.00,3.00,in,lb,false,,USD 7.40
Dell + Stick Computer,true,,,Dell + Stick Computer,USD 588.00,7.50,21.18,2.13,21.18,in,lb,false,,USD 420.00
"Pilot 24"" Pick & Place -- 24 SKU",false,,,"'- 24"" Monitor with Stick Computer
- 1 RFID reader w/ 24 featured products
- Misc. electronic components",USD 850.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 560.90
INACTIVE,false,,,Stick computer,USD 285.00,4.00,5.50,0.07,2.50,in,oz,false,,USD 180.00
"Dell P2418HT 23.8"" Touch Monitor",false,Dell,,,USD 330.00,20.00,21.17,16.52,9.24,in,lb,false,,USD 235.49
"Refurbished 22"" Planar",true,,,,USD 140.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
Refurbished NUC Computer,true,,,,USD 250.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
"RF - Planar 22"" Pick & Place -- 24 SKU",false,,,,USD 585.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 90.42
"Pilot 24"" Lift + Learn -- 10 SKU",false,,,"'- 24"" Monitor with Stick Computer
- 10 NFC readers / featured products
- Misc. electronic components",USD 1515.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1080.47
Component -- Full Motion TV Monitor Wall Mount,false,,,,USD 30.00,9.00,12.00,3.00,12.00,in,lb,false,,USD 19.99
"15.6"" WIMAXIT Touch Screen Portable Monitor",false,,,,USD 270.00,4.24,13.98,0.39,8.86,in,lb,false,,USD 189.99
Component -- Anker USB C Cable,true,,,,USD 12.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 7.99
Component -- Mini HDMI to HDMI Adapter,false,,,,USD 13.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 8.79
"Quick Checkout Station -- 15.6"" (w/o product interaction)",false,,,,USD 565.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 403.64
"E - 27"" Pick & Place -- 18 SKU",false,,,"'- 27"" all-in-one tablet
- 1 RFID reader w/ 18 featured products
- Misc. electronic components",USD 1875.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1239.16
Remedy -- Small Flower Jar,false,,,,USD 40.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 35.00
Bud Bar Puffer Pod,false,,,,USD 43.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 40.00
Bud Bar Eyelet Security Tether,false,,,,USD 12.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 9.00
Service -- Display Installation,false,,,,USD 150.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
Component -- Adapters for Pilot Computers,false,,,,USD 91.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 65.00
Component -- Tether,true,,,,USD 12.53,0.00,0.00,0.00,0.00,in,lb,false,,USD 8.95
"Quick Checkout Station -- 24"" (w/o product interaction)",false,,,,USD 630.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 449.14
ZNC Shelf Inserts,true,,,"Acrylic inserts six products each.
30"" long",USD 35.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 35.00
Tablet Power Supply,false,Estone,,,USD 42.00,5.00,12.00,4.00,5.00,in,lb,false,,USD 0.00
"22"" ZNC Pick & Place Station",false,ZNC,,,USD 2900.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
"22"" Pick & Place -- 24 SKU",false,,,"'- 22"" all-in-one tablet
- 1 RFID reader w/ 24 featured products
- Misc. electronic components",USD 1625.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Built in Lift + Learn,false,,,,USD 3800.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
